"","X","tweet","annotation"
"1",1,"@sharscott12 Tramidol is mostly for headaches/migraines. So yeah it isn’t overly strong. Oh I was like you. I tried absolutely everything before opioids. So I’m definitely with you to go a route before that.",0
"5",5,"RT @PSilvervoodoos: Playlist Ordinary Man - Ozzy Osbourne by @_CaviarMusic_  @GreenDay @RufuskingBand @ShadowofEverest @gozer_goodspeed @Le…",0
"7",7,"@JoMichigan1 @TheDailyShow If he's alone in his own house then he's free to cough and touch his face ; so not seeing the issue?",1
"9",9,"RT @SaskHealth: As pandemic fatigue increases; public health reminds everyone that no single public health measure is perfect at preventing…",0
"11",11,"RT @stevep44: Once Again: 1) Vaccines save lives. 2) Homeopathy is a scam. 3) Astrology is a hoax. 4) Magic isn't real. 5) Psychics are fra…",0
"13",13,"Heidi knows to cover her mouth when she coughs, put her dirty dishes in the dishwasher after supper, and says excuse me please when you are in her way. She also critiqued my muffin making techniques because I wasn’t using a masher for the bananas. She’s so smart.",0
"14",14,"If this doesn’t remind you of milk; you’re not from my generation. #milkbags https://t.co/pWP4JVjRB4",0
"16",16,"@SciFiTV50 @ufpearth Cool! Thanks! #FanchiseFatigue is a lot of fun.  My 1st warp five was #92. We did a commentary… https://t.co/7Mo59nwE39",0
"17",17,"@flamesfever Oh absolutely",0
"18",18,"@MysterySolvent Diarrhea green!!just like the 💩 coming out if his and her mouth all the time!!!",0
"20",20,"@CrusaderZolon Notdontsayanythingdirtydontsayanuthingdirty...  *Cough*  But really; your big heart 💖",0
"21",21,"RT @PredatorsPa: First ever Lacrosse game to be played in La Ronge April 25 hosted by JRMCC and the Lac La Ronge Indian band. Let’s go Pred…",0
"25",25,"Shahab on masks: Says on a solitary walk, you don't need one. Grocery shopping, if you cough into your mask you prevent droplets from getting on items, etc. Still don't touch your eyes, nose and mouth and practice hand hygiene. Medical grade masks reserved for healthcare workers.",0
"27",27,"@BigIndianGyasi I feel you! When I sniffle or kids cough, we all look at each other like  👀 Keep your body moving, make your teas strong, include fresh fruits &amp; greens &amp; love on one another ☀️🌿 Allergies? Strengthen adrenals with nettles, licorice root &amp; clear congestion with peppermint",0
"30",30,"This happened earlier...I thought I was going to die trying to hold my cough in at the store 😂🤣 https://t.co/BEfgbgKKgP",0
"32",32,"@centteach Years and years of experience.",0
"36",36,"@_Kathy_Gaynor Boogie Fever!! 😂",0
"39",39,"I don’t know about you but I hit an absolute wall this wknd. Combination of fatigue &amp; anxiety (if that makes sense). I think the adrenaline subsided, I was left with an empty gas tank

Sharing to remind you to pause and take care of your self through this

Any one else feel this?",0
"41",41,"@nb_docs @VitaliteNB @umoncton Now all you need to is stop the pigs in NB from coughing on other people. Bunch frea… https://t.co/Qo4niqPJHp",0
